X	Y
538.430	9021.630
538.410	9021.690
538.440	9021.770
538.500	9021.810
538.550	9021.850
538.610	9021.890
538.620	9021.820
538.600	9021.710
538.660	9021.680
538.740	9021.690
538.800	9021.700
538.890	9021.740
538.960	9021.770
539.010	9021.780
539.080	9021.790
539.150	9021.800
539.220	9021.780
539.300	9021.780
539.350	9021.820
539.400	9021.860
539.470	9021.840
539.560	9021.800
539.660	9021.820
539.760	9021.900
539.810	9021.960
539.800	9022.030
539.740	9022.100
539.610	9022.060
539.550	9022.050
539.470	9022.040
539.420	9022.040
539.350	9022.050
539.380	9022.120
539.340	9022.160
539.250	9022.190
539.130	9022.240
539.050	9022.300
538.990	9022.330
538.900	9022.440
538.880	9022.540
538.880	9022.610
538.880	9022.660
538.890	9022.730
538.900	9022.790
538.920	9022.850
538.960	9022.940
539.010	9023.010
539.070	9023.040
539.120	9022.990
539.190	9022.960
539.240	9022.970
539.300	9023.040
539.340	9023.070
539.390	9023.030
539.410	9022.960
539.430	9022.830
539.450	9022.760
539.530	9022.780
539.560	9022.850
539.580	9022.930
539.650	9022.940
539.710	9022.900
539.750	9022.860
539.860	9022.840
539.950	9022.890
539.910	9022.940
539.860	9022.980
539.880	9023.060
539.960	9023.100
539.910	9023.170
539.810	9023.210
539.740	9023.220
539.670	9023.240
539.560	9023.220
539.490	9023.250
539.420	9023.270
539.340	9023.300
539.300	9023.370
539.320	9023.420
539.350	9023.480
539.440	9023.510
539.510	9023.570
539.560	9023.610
539.640	9023.670
539.700	9023.720
539.680	9023.800
539.700	9023.880
539.620	9023.890
539.540	9023.890
539.450	9023.910
539.390	9023.920
539.310	9023.910
539.190	9023.800
539.160	9023.760
539.100	9023.710
539.040	9023.650
538.980	9023.590
538.900	9023.580
538.880	9023.660
538.900	9023.720
538.950	9023.790
538.990	9023.830
539.040	9023.880
539.070	9023.940
539.010	9024.010
538.950	9024.040
538.870	9024.100
538.790	9024.200
538.780	9024.280
538.840	9024.350
538.890	9024.370
538.960	9024.370
539.070	9024.360
539.170	9024.350
539.260	9024.370
539.280	9024.450
539.250	9024.500
539.220	9024.550
539.210	9024.640
539.250	9024.700
539.290	9024.730
539.340	9024.760
539.420	9024.760
539.490	9024.750
539.590	9024.750
539.600	9024.810
539.580	9024.900
539.540	9024.960
539.490	9025.030
539.540	9025.110
539.630	9025.100
539.690	9025.110
539.750	9025.140
539.810	9025.100
539.830	9025.030
539.850	9024.980
539.930	9024.890
539.960	9024.950
539.980	9025.060
539.970	9025.130
539.940	9025.200
539.920	9025.270
539.980	9025.350
540.050	9025.280
540.100	9025.240
540.170	9025.190
540.260	9025.160
540.310	9025.140
540.380	9025.160
540.400	9025.210
540.380	9025.270
540.320	9025.350
540.280	9025.390
540.200	9025.460
540.140	9025.550
540.150	9025.610
540.210	9025.650
540.280	9025.640
540.340	9025.640
540.390	9025.630
540.510	9025.620
540.620	9025.640
540.670	9025.710
540.690	9025.780
540.620	9025.820
540.490	9025.880
540.420	9025.890
540.340	9025.910
540.290	9025.970
540.340	9026.030
540.410	9026.120
540.450	9026.180
540.500	9026.270
540.500	9026.400
540.460	9026.440
540.370	9026.460
540.280	9026.440
540.220	9026.390
540.180	9026.330
540.150	9026.280
540.130	9026.230
540.090	9026.180
540.050	9026.120
539.960	9026.040
539.880	9026.040
539.810	9026.000
539.770	9025.940
539.750	9025.890
539.700	9025.840
539.650	9025.900
539.570	9025.820
539.570	9025.750
539.580	9025.660
539.580	9025.590
539.570	9025.540
539.510	9025.470
539.480	9025.510
539.420	9025.540
539.420	9025.610
539.370	9025.700
539.290	9025.700
539.270	9025.660
539.240	9025.540
539.200	9025.420
539.170	9025.380
539.100	9025.400
539.080	9025.450
539.080	9025.550
539.060	9025.600
539.000	9025.670
538.940	9025.690
538.890	9025.660
538.860	9025.600
538.840	9025.510
538.820	9025.460
538.760	9025.400
538.710	9025.380
538.640	9025.340
538.590	9025.270
538.540	9025.220
538.440	9025.100
538.360	9025.110
538.370	9025.180
538.380	9025.250
538.380	9025.340
538.330	9025.390
538.270	9025.390
538.200	9025.370
538.110	9025.370
538.100	9025.460
538.170	9025.530
538.250	9025.530
538.320	9025.490
538.400	9025.470
538.500	9025.510
538.550	9025.570
538.620	9025.690
538.610	9025.760
538.540	9025.770
538.390	9025.800
538.320	9025.820
538.230	9025.800
538.140	9025.850
538.130	9025.910
538.180	9025.970
538.250	9025.990
538.300	9025.990
538.400	9026.000
538.430	9026.040
538.430	9026.110
538.330	9026.120
538.290	9026.190
538.330	9026.230
538.380	9026.270
538.480	9026.290
538.570	9026.330
538.630	9026.370
538.710	9026.430
538.760	9026.480
538.810	9026.530
538.850	9026.600
538.850	9026.660
538.760	9026.660
538.690	9026.660
538.590	9026.660
538.490	9026.640
538.410	9026.630
538.330	9026.610
538.260	9026.560
538.210	9026.520
538.160	9026.470
538.100	9026.420
538.060	9026.370
537.980	9026.330
537.920	9026.340
537.850	9026.390
537.820	9026.430
537.820	9026.500
537.830	9026.580
537.840	9026.640
537.830	9026.730
537.840	9026.800
537.910	9026.810
538.060	9026.840
538.060	9026.900
538.040	9026.950
537.960	9026.970
537.880	9026.980
537.830	9027.030
537.850	9027.100
537.940	9027.100
538.020	9027.080
538.050	9027.140
537.980	9027.180
537.900	9027.210
537.900	9027.290
537.960	9027.320
538.060	9027.340
538.150	9027.320
538.210	9027.310
538.270	9027.290
538.320	9027.350
538.320	9027.450
538.250	9027.490
538.210	9027.550
538.210	9027.640
538.280	9027.630
538.380	9027.550
538.430	9027.570
538.450	9027.650
538.390	9027.660
538.340	9027.650
538.310	9027.710
538.310	9027.770
538.350	9027.820
538.430	9027.860
538.540	9027.890
538.590	9027.940
538.590	9028.010
538.510	9028.010
538.450	9027.970
538.380	9028.000
538.370	9028.060
538.360	9028.130
538.370	9028.210
538.400	9028.320
538.420	9028.380
538.490	9028.470
538.560	9028.510
538.640	9028.540
538.720	9028.550
538.840	9028.570
538.910	9028.550
539.030	9028.500
539.070	9028.480
539.140	9028.430
539.190	9028.390
539.290	9028.340
539.400	9028.300
539.510	9028.270
539.570	9028.250
539.620	9028.240
539.700	9028.230
539.750	9028.230
539.860	9028.220
539.930	9028.250
539.990	9028.340
539.990	9028.410
539.910	9028.500
539.870	9028.530
539.820	9028.550
539.720	9028.590
539.690	9028.540
539.660	9028.490
539.590	9028.430
539.540	9028.440
539.500	9028.490
539.480	9028.540
539.450	9028.640
539.410	9028.700
539.380	9028.740
539.330	9028.750
539.250	9028.750
539.180	9028.710
539.120	9028.710
539.060	9028.790
539.080	9028.840
539.140	9028.890
539.210	9028.950
539.250	9028.980
539.280	9029.050
539.290	9029.120
539.220	9029.140
539.150	9029.180
539.140	9029.260
539.160	9029.330
539.200	9029.380
539.230	9029.430
539.260	9029.470
539.320	9029.530
539.390	9029.590
539.440	9029.640
539.490	9029.700
539.560	9029.750
539.610	9029.790
539.670	9029.840
539.720	9029.890
539.760	9029.940
539.730	9030.020
539.620	9030.080
539.530	9030.020
539.480	9029.990
539.420	9029.940
539.350	9029.940
539.270	9029.950
539.200	9029.910
539.150	9029.830
539.150	9029.740
539.120	9029.680
539.050	9029.660
539.000	9029.700
538.950	9029.750
538.890	9029.680
538.850	9029.600
538.840	9029.540
538.850	9029.450
538.850	9029.360
538.850	9029.290
538.840	9029.240
538.800	9029.150
538.700	9029.100
538.620	9029.120
538.560	9029.140
538.520	9029.180
538.500	9029.280
538.490	9029.380
538.490	9029.450
538.490	9029.520
538.480	9029.580
538.430	9029.680
538.320	9029.690
538.320	9029.760
538.360	9029.830
